MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,PricePerSqFt,PropertyAge,BasementBathrooms,BathroomAbvGr,OverallCondition,OverallExterior,TotalBsmtSqFt,TotalGrLivAreaSF,GarageQual+Cond
SC60,RL,65.0,8450.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,7.0,5.0,2003.0,2003.0,Gable,CompShg,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,Gd,8.0,Typ,0.0,No,Attchd,1980.0,RFn,2.0,548.0,Y,0.0,61.0,No,Feb,2008.0,WD,Normal,208500.0,121.9298245614035,22.0,1.0,3.0,NormNorm,VinylSdVinylSd,856.0,1710.0,TATA
SC20,RL,80.0,9600.0,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,1Fam,1Story,6.0,5.0,1976.0,1976.0,Gable,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,TA,6.0,Typ,1.0,TA,Attchd,1980.0,RFn,2.0,460.0,Y,298.0,0.0,No,May,2007.0,WD,Normal,181500.0,143.81933438985737,49.0,0.0,2.0,FeedrNorm,MetalSdMetalSd,1262.0,1262.0,TATA
SC60,RL,68.0,11250.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,7.0,5.0,2001.0,2002.0,Gable,CompShg,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,Gd,6.0,Typ,1.0,TA,Attchd,1980.0,RFn,2.0,608.0,Y,0.0,42.0,No,Sep,2008.0,WD,Normal,223500.0,125.13997760358343,24.0,1.0,3.0,NormNorm,VinylSdVinylSd,920.0,1786.0,TATA
SC70,RL,60.0,9550.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,1Fam,2Story,7.0,5.0,1915.0,1970.0,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Detchd,1980.0,Unf,3.0,642.0,Y,0.0,35.0,No,Feb,2006.0,WD,Abnorml,140000.0,81.537565521258,110.0,1.0,1.0,NormNorm,Wd SdngWd Shng,756.0,1717.0,TATA
SC60,RL,84.0,14260.0,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,1Fam,2Story,8.0,5.0,2000.0,2000.0,Gable,CompShg,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,4.0,1.0,Gd,9.0,Typ,1.0,TA,Attchd,1980.0,RFn,3.0,836.0,Y,192.0,84.0,No,Dec,2008.0,WD,Normal,250000.0,113.73976342129208,25.0,1.0,3.0,NormNorm,VinylSdVinylSd,1145.0,2198.0,TATA
SC50,RL,85.0,14115.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,1Fam,1.5Fin,5.0,5.0,1993.0,1995.0,Gable,CompShg,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,1.0,TA,5.0,Typ,0.0,No,Attchd,1980.0,Unf,2.0,480.0,Y,40.0,30.0,Shed,Oct,2009.0,WD,Normal,143000.0,104.99265785609398,32.0,1.0,2.0,NormNorm,VinylSdVinylSd,796.0,1362.0,TATA
SC20,RL,75.0,10084.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,1Fam,1Story,8.0,5.0,2004.0,2005.0,Gable,CompShg,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,1980.0,RFn,2.0,636.0,Y,255.0,57.0,No,Aug,2007.0,WD,Normal,163000.0,96.2219598583235,21.0,1.0,2.0,NormNorm,VinylSdVinylSd,1686.0,1694.0,TATA
SC60,RL,0.0,10382.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,1Fam,2Story,7.0,6.0,1973.0,1973.0,Gable,CompShg,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,3.0,1.0,TA,7.0,Typ,2.0,TA,Attchd,1980.0,RFn,2.0,484.0,Y,235.0,25.0,Shed,Nov,2009.0,WD,Normal,200000.0,95.69377990430623,52.0,1.0,3.0,PosNNorm,HdBoardHdBoard,1075.0,2090.0,TATA
SC50,RM,51.0,6120.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1Fam,1.5Fin,7.0,5.0,1931.0,1950.0,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,2.0,1.0,TA,8.0,Min1,2.0,TA,Detchd,1980.0,Unf,2.0,468.0,Y,90.0,0.0,No,Apr,2008.0,WD,Abnorml,129900.0,73.22435174746336,94.0,0.0,2.0,ArteryNorm,BrkFaceWd Shng,952.0,1774.0,FaTA
SC190,RL,50.0,7420.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,2fmCon,1.5Unf,5.0,6.0,1939.0,1950.0,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,2.0,1.0,TA,5.0,Typ,2.0,TA,Attchd,1980.0,RFn,1.0,205.0,Y,0.0,4.0,No,Jan,2008.0,WD,Normal,118000.0,109.5636025998143,86.0,1.0,1.0,ArteryArtery,MetalSdMetalSd,991.0,1077.0,GdTA
